year,lga,state,fpi_score,annual_rainfall_mm,population_exposed_thousands
2017,Aba North,Abia,7.436697483,635,170
2017,Aba South,Abia,6.511282444,898,78
2017,Abadam,Borno,1.067566508,214,50
2017,Abaji,Federal Capital Territory,6.778563586,270,96
2017,Abak,Akwa Ibom,6.285045011,615,166
2017,Abakaliki,Ebonyi,8.099406064,674,108
2017,Abeokuta North,Ogun,6.060047481,661,105
2017,Abeokuta South,Ogun,5.590827942,219,110
2017,Abi,Cross River,7.678097248,671,51
2017,Aboh Mbaise,Imo,7.798847119,300,131
2017,Abua/Odual,Rivers,6.601101398,335,159
2017,Abuja Municipal,Federal Capital Territory,6.770237769,678,138
2017,Adavi,Kogi,8.618257523,996,110
2017,Ado,Benue,8.804834806,771,104
2017,Ado-Odo/Ota,Ogun,6.308313983,661,187
2017,Ado Ekiti,Ekiti,7.008994222,338,58
2017,Afijio,Oyo,5.564105749,328,173
2017,Afikpo North,Ebonyi,7.803010327,457,195
2017,Afikpo South,Ebonyi,7.968158649,545,106
2017,Agaie,Niger,6.189537218,301,73
2017,Agatu,Benue,8.422063291,831,53
2017,Agege,Lagos,6.294075171,753,72
2017,Aguata,Anambra,8.719644229,395,180
2017,Agwara,Niger,3.101139375,518,161
2017,Ahiazu Mbaise,Imo,7.980473757,768,139
2017,Ahoada East,Rivers,6.936012355,684,172
2017,Ahoada West,Rivers,6.934352943,431,184
2017,Ayedaade,Osun,6.621617165,947,113
2017,Ayedire,Osun,6.058941984,510,132
2017,Gbonyin,Ekiti,7.56933529,627,93
2017,Ajaokuta,Kogi,8.96068546,660,51
2017,Ajeromi-Ifelodun,Lagos,6.370078564,934,111
2017,Ajingi,Kano,4.413781037,547,111
2017,Akamkpa,Cross River,6.048398239,120,51
2017,Akinyele,Oyo,5.836808205,856,166
2017,Akko,Gombe,2.638197668,229,93
2017,Akoko Edo,Edo,8.703811851,569,60
2017,Akoko North-East,Ondo,8.122357629,953,123
2017,Akoko North-West,Ondo,7.850805902,799,84
2017,Akoko South-East,Ondo,8.296882033,770,185
2017,Akoko South-West,Ondo,7.977674901,760,165
2017,Akpabuyo,Cross River,4.95894928,570,185
2017,Akuku-Toru,Rivers,5.72522553,839,185
2017,Akure North,Ondo,7.641603775,924,175
2017,Akure South,Ondo,7.427502537,975,131
2017,Akwanga,Nasarawa,6.409051105,804,68
2017,Albasu,Kano,4.469713116,195,145
2017,Aleiro,Kebbi,2.787170148,354,181
2017,Alimosho,Lagos,6.47518083,168,58
2017,Alkaleri,Bauchi,3.462788004,562,174
2017,Amuwo-Odofin,Lagos,6.518001874,143,77
2017,Anambra East,Anambra,9.334375593,758,131
2017,Anambra West,Anambra,9.358927398,816,74
2017,Anaocha,Anambra,8.940463066,803,63
2017,Andoni,Rivers,5.338114357,519,165
2017,Aninri,Enugu,8.512178103,427,87
2017,Aniocha North,Delta,9.224514757,407,126
2017,Aniocha South,Delta,8.992132614,814,123
2017,Anka,Zamfara,3.718898732,357,101
2017,Ankpa,Kogi,8.981230986,179,78
2017,Apa,Benue,8.589622211,408,70
2017,Apapa,Lagos,6.479346275,952,56
2017,Ardo Kola,Taraba,3.716937243,452,89
2017,Arewa,Kebbi,2.600545277,865,101
2017,Argungu,Kebbi,2.724011095,924,122
2017,Arochukwu,Abia,7.412275189,558,118
2017,Asa,Kwara,4.628574654,186,80
2017,Asari-Toru,Rivers,6.374997854,118,116
2017,Askira/Uba,Borno,1.330935345,515,86
2017,Atakumosa East,Osun,6.793524615,691,70
2017,Atakumosa West,Osun,6.377928456,992,93
2017,Atiba,Oyo,4.658142201,840,119
2017,Atigbo,Oyo,3.977890504,216,188
2017,Augie,Kebbi,2.619478137,268,193
2017,Auyo,Jigawa,3.546921475,794,168
2017,Awe,Nasarawa,6.706905847,503,162
2017,Awgu,Enugu,8.861165237,595,159
2017,Awka North,Anambra,9.377412717,372,118
2017,Awka South,Anambra,9.243271637,531,137
