place,year,lga,state,fpi_score,annual_rainfall_mm,population_exposed_thousands
ABA,2017,Aba South,Abia,7.436697483,802,20
Abakaliki,2017,Ebonyi,Ebonyi,8.692605019,827,55
Abaragba,2017,Ikom,Cross River,6.983942986,1285,12
ABEOKUTA,2017,Abeokuta South,Ogun,5.590827942,1719,53
Abong,2017,Kurmi,Taraba,5.284392834,973,51
ABUJA,2017,Abuja Municipal,Federal Capital Territory,6.622745514,987,8
Addo,2017,Iseyin,Oyo,5.143359184,120,100
Adebka,2017,Bukkuyum,Zamfara,3.459644318,1543,34
Ado,2017,Ado-Odo/Ota,Ogun,6.02738142,1455,89
Ado-Ekiti,2017,Ado Ekiti,Ekiti,6.721238136,567,24
Afikpo,2017,Afikpo North,Ebonyi,7.898390293,1701,98
Agam,2017,Kajuru,Kaduna,5.232179165,1166,19
Agbado,2017,Gbonyin,Ekiti,7.824829578,525,15
Agbor,2017,Ika South,Delta,9.218615532,188,25
Ageri,2017,Odeda,Ogun,5.973912716,1385,58
Aggi,2017,Ekeremor,Bayelsa,6.685115337,1259,53
Agholopke,2017,Okpe,Delta,7.940300465,147,55
Ago Amadu,2017,Saki East,Oyo,3.425740242,1439,63
Ago-Owu,2017,Ayedaade,Osun,6.91042614,766,51
Agunrege,2017,Atigbo,Oyo,4.118986607,1489,98
Aiyetoro,2017,Egbado North,Ogun,5.931184292,1139,48
Ajapa,2017,Ese Odo,Ondo,7.005058765,1973,56
AJASSE IPO,2017,Irepodun,Kwara,5.70078516,1998,40
Ajebo,2017,Obafemi Owode,Ogun,7.078464031,643,41
Akerre,2017,Wushishi,Niger,4.717085361,490,46
Akowe,2017,Afijio,Oyo,5.274616241,1720,91
Akungba,2017,Akoko South-West,Ondo,7.864557743,970,84
Akure,2017,Akure South,Ondo,7.100548267,1082,86
Akwana,2017,Logo,Benue,6.787736416,1251,59
Akwanga,2017,Akwanga,Nasarawa,6.74616003,1602,79
Alagarno,2017,Fune,Yobe,1.752487779,1286,60
Alakuka,2017,Ijebu East,Ogun,7.146158218,1934,49
Alawa,2017,Shiroro,Niger,5.16268301,766,30
Alkalere,2017,Alkaleri,Bauchi,3.951359272,1404,28
Alla Soka,2017,Imeko Afon,Ogun,5.010326862,404,50
Amaku,2017,Nasarawa,Nasarawa,7.865660191,1351,63
Amper,2017,Kanke,Plateau,4.822194099,1663,77
Andaha,2017,Akwanga,Nasarawa,6.247834682,1642,32
Anderai,2017,Maiyama,Kebbi,2.824045181,308,63
Anka,2017,Anka,Zamfara,4.084312439,1073,50
Ankpa,2017,Ankpa,Kogi,9.302184105,424,76
Apawa,2017,Yorro,Taraba,3.58641839,1858,96
Apoi,2017,Southern Ijaw,Bayelsa,5.516387463,344,73
Araromi,2017,Moro,Kwara,3.825421333,1277,50
Arege,2017,Abadam,Borno,1.081776738,1320,23
Argungu,2017,Argungu,Kebbi,2.72245717,894,96
ASABA,2017,Oshimili South,Delta,9.059129715,1221,47
Askira,2017,Askira/Uba,Borno,1.005725861,1120,72
Atijere,2017,Ilaje,Ondo,7.426105976,1604,30
Atsuku,2017,Kurmi,Taraba,5.291393757,989,29
Atuma,2017,Giwa,Kaduna,4.591384411,687,45
Auchi,2017,Etsako West,Edo,9.018453598,1841,12
Augi,2017,Augie,Kebbi,2.333059788,1239,71
Auna,2017,Magama,Niger,3.413841724,1526,7
Auno,2017,Konduga,Borno,1.468318582,484,83
Awe,2017,Awe,Nasarawa,6.738762856,1320,85
Awgu,2017,Awgu,Enugu,8.894682884,1007,50
Awja Awdaw,2017,Egbado North,Ogun,5.941991329,418,26
Awka,2017,Awka South,Anambra,9.157576561,1929,26
Ayale,2017,Dekina,Kogi,8.725401878,1266,100
Ayangba,2017,Dekina,Kogi,9.029273987,1412,48
Ayere,2017,Ijumu,Kogi,7.759046078,897,30
Azare,2017,Katagum,Bauchi,3.296744585,1327,12
Babampa,2017,Tsafe,Zamfara,4.499709129,509,20
Babana,2017,Borgu,Niger,2.150152683,632,10
Babura,2017,Babura,Jigawa,3.506629229,803,54
BADAGRI,2017,Badagry,Lagos,6.166779995,1134,76
Badir,2017,Chibok,Borno,1.068377972,1041,65
Badu,2017,Guzamala,Borno,1.185613632,1664,80
Baga,2017,Kukawa,Borno,0.609256744,919,93
Bagega,2017,Anka,Zamfara,3.75535202,528,36
Bagizza,2017,Arewa,Kebbi,2.168799162,1391,61
Bajida,2017,Fakai,Kebbi,3.506064177,466,49
Bakara,2017,Nasarawa,Nasarawa,7.451267719,1807,73
Bakoreji,2017,Alkaleri,Bauchi,3.441202879,404,89
Bakori,2017,Bakori,Katsina,4.842385292,1136,58
Bakundi,2017,Bali,Taraba,4.749989033,191,99
BAMA,2017,Bama,Borno,1.11348176,1658,67
Bamgi,2017,Gudu,Sokoto,2.5640378,258,66
Bandegi,2017,Gbako,Niger,4.842532158,930,5
Bani,2017,Bagudo,Kebbi,2.538783789,453,18
Bansara,2017,Ogoja,Cross River,8.1164217,1661,79
Bara,2017,Kirfi,Bauchi,2.844120264,1959,5
Barakin Ladi,2017,Barkin Ladi,Plateau,5.140510559,1770,97
Barasa,2017,Fufure,Adamawa,2.459544659,453,73
Baro,2017,Agaie,Niger,6.760046005,489,65
Bashar,2017,Wase,Plateau,4.116579056,1963,50
BAUCHI,2017,Bauchi,Bauchi,4.265607357,1669,27
Baure,2017,Baure,Katsina,3.641878128,1248,88
Bear Town,2017,Warri North,Delta,7.539651871,942,37
Bebeji,2017,Bebeji,Kano,4.973134518,188,51
Bele,2017,Bagudo,Kebbi,3.074299335,403,35
Beli,2017,Bali,Taraba,4.664898396,1390,57
Bena,2017,Wasagu/Danko,Kebbi,3.674685717,1930,52
Beni,2017,Kirfi,Bauchi,3.474140167,1184,68
Beni,2017,Muya,Niger,5.755634785,1863,86
BENIN CITY,2017,Oredo,Edo,8.723230362,995,65
Besse,2017,Koko/Besse,Kebbi,3.041768551,1343,42
Bichi,2017,Bichi,Kano,4.749231339,347,76
Bida,2017,Monguno,Borno,0.881430924,468,94
BIDA,2017,Bida,Niger,5.718058109,425,93
Bilachi,2017,Fufure,Adamawa,1.348171234,1840,20
BIN YAURI,2017,Ngaski,Kebbi,3.393252611,275,31
Bingi,2017,Bungudu,Zamfara,3.575971603,1297,89
Birnin Bako,2017,Sumaila,Kano,4.48480463,370,68
Birnin Gwari,2017,Birnin Gwari,Kaduna,4.940291405,234,69
Birnin Kebbi,2017,Birnin Kebbi,Kebbi,2.73183918,1274,27
Birnin Kudu,2017,Birnin Kudu,Jigawa,4.171947479,893,34
Birnin Tudu,2017,Gummi,Zamfara,3.2544384,652,81
Birniwa,2017,Biriniwa,Jigawa,3.171451807,1789,53
Birri,2017,Nafada,Gombe,2.438432693,1227,53
Bissaula,2017,Kurmi,Taraba,5.839467525,1942,89
BIU,2017,Biu,Borno,1.635532498,752,68
